,sending_celltype,receiving_celltype,interaction_score,ligand,receptor,interaction_name
0,AT2_expanding,AT2_expanding,1.8363795211468057,Entpd1,Adora2b,Entpd1::Adora2b
1,AT2_non_expanding,AT2_expanding,1.558805398770252,Entpd1,Adora2b,Entpd1::Adora2b
2,AT2_expanding,AT2_non_expanding,0.6571559523379215,Col6a2,Itga9,Col6a2::Itga9
3,AT2_expanding,AT2_expanding,0.5983378676196563,Col6a2,Itga9,Col6a2::Itga9
4,AT2_expanding,AT2_non_expanding,0.4528251796059426,Entpd1,Adora2b,Entpd1::Adora2b
5,cancer_expanding,cancer_expanding,0.37892794333114826,Spp1,Itga5,Spp1::Itga5
6,Mesothelial_non_expanding,Mesothelial_expanding,0.37385811805136926,Col1a2,Itgb8,Col1a2::Itgb8
7,AT2_expanding,AT2_expanding,0.349001260840432,Col6a1,Itga9,Col6a1::Itga9
8,AT2_non_expanding,AT2_non_expanding,0.3261147841129239,Col4a3,Itga9,Col4a3::Itga9
9,AT2_expanding,AT2_non_expanding,0.32585402359326027,Col6a1,Itga9,Col6a1::Itga9
10,Mesothelial_non_expanding,Mesothelial_non_expanding,0.29483447079775793,Col1a2,Itgb8,Col1a2::Itgb8
11,AT2_non_expanding,AT2_non_expanding,0.2874242802500628,Entpd1,Adora2b,Entpd1::Adora2b
12,AT2_expanding,Alveolar Macrophage_expanding,0.26138501965546634,Hc,C5ar1,Hc::C5ar1
13,AT2_expanding,AT2_expanding,0.24533149244378297,Col4a3,Itga9,Col4a3::Itga9
14,Mesothelial_non_expanding,Mesothelial_expanding,0.23917864113309403,Col1a1,Itgb8,Col1a1::Itgb8
15,Endothelial_non_expanding,AT2_non_expanding,0.23798040878672946,Sema6a,Plxna2,Sema6a::Plxna2
16,cancer_non_expanding,Mesothelial_non_expanding,0.23149135323386139,Ptges,Ptger3,Ptges::Ptger3
17,cancer_non_expanding,AT2_expanding,0.23129905158031328,Slc1a3,Grm3,Slc1a3::Grm3
18,Mesothelial_non_expanding,Mesothelial_non_expanding,0.2290774247953029,Col1a1,Itgb8,Col1a1::Itgb8
19,Endothelial_non_expanding,cancer_non_expanding,0.2287780859165498,Sema6a,Plxna4,Sema6a::Plxna4
20,Endothelial_expanding,AT2_expanding,0.22231080548843532,Lama1,Itga9,Lama1::Itga9
21,cancer_expanding,Mesothelial_non_expanding,0.21376157777076102,Ptges3,Ptger3,Ptges3::Ptger3
22,AT2_expanding,AT2_non_expanding,0.20708329754365018,Col4a3,Itga9,Col4a3::Itga9
23,iCAF_non_expanding,AT2_non_expanding,0.20090057700241945,Fgf10,Fgfr2,Fgf10::Fgfr2
24,AT2_non_expanding,AT2_non_expanding,0.19773680834934282,Icam1,Itgb2l,Icam1::Itgb2l
25,Endothelial_non_expanding,AT2_non_expanding,0.19306130714537925,Sema6a,Plxna4,Sema6a::Plxna4
26,cancer_expanding,cancer_expanding,0.19118577397720848,Fn1,Itga5,Fn1::Itga5
27,Endothelial_non_expanding,cancer_non_expanding,0.18844172130272285,Sema6a,Plxna2,Sema6a::Plxna2
28,Alveolar Macrophage_non_expanding,cancer_non_expanding,0.17849305073536684,Tg,Thrb,Tg::Thrb
29,AT2_expanding,Mac_non_expanding,0.17412204675604007,Col6a2,Itga9,Col6a2::Itga9
30,Mac_non_expanding,cancer_non_expanding,0.1729754257299914,Tg,Thrb,Tg::Thrb
31,myCAF_non_expanding,AT2_non_expanding,0.17142805346035472,Lama4,Itga9,Lama4::Itga9
32,AT2_non_expanding,AT2_non_expanding,0.1702818144312825,Col6a1,Itga9,Col6a1::Itga9
33,AT2_non_expanding,AT2_expanding,0.16875037386337638,Col6a2,Itga9,Col6a2::Itga9
34,iCAF_non_expanding,cancer_non_expanding,0.16812339686060007,Fgf10,Fgfr2,Fgf10::Fgfr2
35,AT2_non_expanding,AT2_expanding,0.1658582494585522,Col6a1,Itga9,Col6a1::Itga9
36,AT2_expanding,cancer_non_expanding,0.1655721589556907,Col6a2,Itga9,Col6a2::Itga9
37,AT2_non_expanding,AT2_expanding,0.16507338937961522,Col4a3,Itga9,Col4a3::Itga9
38,AT2_non_expanding,cancer_non_expanding,0.1627107615842507,Col4a3,Itga9,Col4a3::Itga9
39,Mesothelial_non_expanding,cancer_expanding,0.16044335012201277,Tenm3,Adgrl3,Tenm3::Adgrl3
40,Mesothelial_non_expanding,MonoMac_non_expanding,0.16037816845917477,C3,Itgb2,C3::Itgb2
41,Mesothelial_expanding,myCAF_expanding,0.16004811484266196,Col1a1,Itga1,Col1a1::Itga1
42,cancer_non_expanding,cancer_non_expanding,0.1469279281094346,Tnxb,Itga9,Tnxb::Itga9
43,Mesothelial_non_expanding,cancer_expanding,0.1419112784516865,Col1a2,Itgb1,Col1a2::Itgb1
44,Endothelial_expanding,cancer_expanding,0.14118062176245033,Lama1,Itgb1,Lama1::Itgb1
45,AT2_non_expanding,cancer_non_expanding,0.13307997592129414,Entpd1,Adora1,Entpd1::Adora1
46,cancer_expanding,cancer_expanding,0.1327956938013547,Spp1,Cd44,Spp1::Cd44
47,Mesothelial_expanding,cancer_expanding,0.13277459334095634,Thbs2,Itgb1,Thbs2::Itgb1
48,myCAF_non_expanding,AT2_non_expanding,0.12871872205894666,Lama2,Itga9,Lama2::Itga9
49,Endothelial_expanding,cancer_expanding,0.12854847506126493,Lama1,Cd44,Lama1::Cd44
50,Mesothelial_expanding,Mesothelial_expanding,0.12631550009262585,Col1a2,Itgb8,Col1a2::Itgb8
51,Mesothelial_expanding,cancer_expanding,0.12577312930257117,Col1a1,Itgb1,Col1a1::Itgb1
52,cancer_expanding,cancer_expanding,0.12574660190019116,Bmp7,Acvr1,Bmp7::Acvr1
53,myCAF_non_expanding,cancer_non_expanding,0.12190916202403776,Lama2,Itga9,Lama2::Itga9
54,Mesothelial_expanding,Mesothelial_expanding,0.12080268879534425,Col1a1,Itgb8,Col1a1::Itgb8
55,AT2_expanding,Mac_non_expanding,0.1189976966153768,Col6a1,Itga9,Col6a1::Itga9
56,cancer_expanding,cancer_expanding,0.11843309455444709,Spp1,Itgb1,Spp1::Itgb1
57,Mesothelial_expanding,Mesothelial_non_expanding,0.11729432803617759,Col1a2,Itgb8,Col1a2::Itgb8
58,Mesothelial_expanding,cancer_expanding,0.1172824489565301,Col1a1,Cd44,Col1a1::Cd44
59,cancer_expanding,MonoMac_expanding,0.11717939810102042,Spp1,Itga4,Spp1::Itga4
60,Mesothelial_non_expanding,Mac_expanding,0.11370964650475425,Col1a2,Itga9,Col1a2::Itga9
61,myCAF_non_expanding,cancer_non_expanding,0.11187680833201541,Lama4,Itga9,Lama4::Itga9
62,migDC_non_expanding,cancer_non_expanding,0.10771118914048723,Cd80,Cd28,Cd80::Cd28
63,Mesothelial_non_expanding,cancer_expanding,0.10758615599615809,Col1a2,Itga11,Col1a2::Itga11
64,Mesothelial_non_expanding,cancer_non_expanding,0.10361762706955782,Col1a1,Itga9,Col1a1::Itga9
65,cancer_non_expanding,AT2_expanding,0.09886626816158796,Gls,Grm3,Gls::Grm3
66,Mesothelial_non_expanding,cancer_expanding,0.09796816868028613,Col1a1,Itgb1,Col1a1::Itgb1
67,Mesothelial_non_expanding,cancer_expanding,0.09760435264756746,Col1a1,Itga11,Col1a1::Itga11
68,AT2_non_expanding,AT2_non_expanding,0.09620465629234627,Col6a2,Itga9,Col6a2::Itga9
69,Mesothelial_expanding,myCAF_expanding,0.09617494361740438,Col1a2,Itga1,Col1a2::Itga1
70,AT2_expanding,AT2_expanding,0.09481431675679688,Icam1,Itgb2l,Icam1::Itgb2l
71,iCAF_non_expanding,AT2_non_expanding,0.0915768381571346,Col1a1,Itga9,Col1a1::Itga9
72,Mesothelial_non_expanding,cancer_expanding,0.09114597879024887,Col1a2,Cd44,Col1a2::Cd44
73,AT2_non_expanding,Mac_non_expanding,0.08929705195608967,Col4a3,Itga9,Col4a3::Itga9
74,Mesothelial_expanding,cancer_expanding,0.08883810047200599,Aldh1a2,Rorb,Aldh1a2::Rorb
75,Mesothelial_non_expanding,cancer_non_expanding,0.08827886722920016,Col1a2,Itga9,Col1a2::Itga9
76,AT2_non_expanding,AT2_expanding,0.08817833749326966,Icam1,Itgb2l,Icam1::Itgb2l
77,AT2_expanding,cancer_non_expanding,0.08809228095057417,Col4a3,Itga9,Col4a3::Itga9
78,Mac_non_expanding,AT2_expanding,0.0877637457921171,Slc1a3,Grm3,Slc1a3::Grm3
79,Mesothelial_non_expanding,AT2_non_expanding,0.0869432146209232,Col1a1,Itga9,Col1a1::Itga9
80,AT2_non_expanding,cancer_expanding,0.0867217971289921,Col4a3,Sdc1,Col4a3::Sdc1
81,Mesothelial_expanding,Mesothelial_expanding,0.08650933645950631,Mmp2,Mmp14,Mmp2::Mmp14
82,AT2_expanding,cancer_non_expanding,0.0841475256165164,Col6a1,Itga9,Col6a1::Itga9
83,Endothelial_expanding,Mac_expanding,0.08315593497875054,Lama1,Itga9,Lama1::Itga9
84,Mesothelial_expanding,cancer_expanding,0.08266086132873764,Col1a2,Itgb1,Col1a2::Itgb1
85,AT2_expanding,cancer_non_expanding,0.08170145806596465,Entpd1,Adora1,Entpd1::Adora1
86,Mesothelial_expanding,Mesothelial_non_expanding,0.08161880587157151,Col1a1,Itgb8,Col1a1::Itgb8
87,iCAF_non_expanding,cancer_expanding,0.08134145887357284,Fgf10,Fgfr2,Fgf10::Fgfr2
88,cancer_non_expanding,AT2_non_expanding,0.08066152442177234,Col4a2,Itga9,Col4a2::Itga9
89,cancer_non_expanding,AT2_non_expanding,0.08047226408280403,Slc1a3,Grm3,Slc1a3::Grm3
90,Mac_expanding,Alveolar Macrophage_expanding,0.08025874836405551,Ptprc,Mrc1,Ptprc::Mrc1
91,Ciliated cell_expanding,Ciliated cell_expanding,0.07987830145150768,Aldh1a1,Rarb,Aldh1a1::Rarb
92,AT2_non_expanding,cancer_expanding,0.07950166236102894,Col4a3,Cd44,Col4a3::Cd44
93,Mesothelial_expanding,cancer_expanding,0.0774594050288174,Tenm3,Adgrl3,Tenm3::Adgrl3
94,AT2_expanding,AT2_expanding,0.07733780878801041,Col4a4,Itga9,Col4a4::Itga9
95,myCAF_expanding,cancer_expanding,0.07677661969593512,Col6a3,Itgb1,Col6a3::Itgb1
96,AT2_expanding,AT2_non_expanding,0.0751738693337163,Icam1,Itgb2l,Icam1::Itgb2l
97,Mesothelial_expanding,cancer_expanding,0.07386189727964763,Col1a2,Cd44,Col1a2::Cd44
98,MonoMac_non_expanding,cancer_non_expanding,0.07226521521523863,Cd86,Cd28,Cd86::Cd28
99,cancer_non_expanding,AT2_non_expanding,0.07196789285239653,Lamc2,Itga9,Lamc2::Itga9
100,AT2_non_expanding,cancer_expanding,0.07146762529551448,Col4a3,Itgb1,Col4a3::Itgb1
101,cancer_non_expanding,cancer_non_expanding,0.07008970105455595,App,Sorl1,App::Sorl1
102,Endothelial_non_expanding,Mac_non_expanding,0.06980711390217595,Sema6a,Plxna4,Sema6a::Plxna4
103,Mac_non_expanding,Mac_non_expanding,0.06920527729918487,Tg,Thrb,Tg::Thrb
104,Alveolar Macrophage_expanding,cancer_non_expanding,0.06906507540225622,Tg,Thrb,Tg::Thrb
105,cancer_expanding,cancer_expanding,0.06871099988557766,Angptl2,Itga5,Angptl2::Itga5
106,Mesothelial_expanding,cancer_expanding,0.06783334388186718,Col1a1,Itga11,Col1a1::Itga11
107,Mesothelial_expanding,cancer_non_expanding,0.06739736651366082,Col1a1,Itga9,Col1a1::Itga9
108,myCAF_expanding,cancer_expanding,0.0671642228313242,Col6a3,Cd44,Col6a3::Cd44
109,Endothelial_expanding,cancer_expanding,0.0670431995712811,Lama1,Itga6,Lama1::Itga6
110,myCAF_expanding,cancer_expanding,0.06664768406082533,Col6a3,Sdc1,Col6a3::Sdc1
111,AT2_expanding,Mac_non_expanding,0.06453992237241374,Col4a3,Itga9,Col4a3::Itga9
112,AT2_non_expanding,cancer_non_expanding,0.06420450908499115,Col4a3,Itga2,Col4a3::Itga2
113,AT2_expanding,AT2_expanding,0.06366143104555254,Slc1a3,Grm3,Slc1a3::Grm3
114,Mesothelial_non_expanding,cancer_expanding,0.06334191241003051,Col1a1,Cd44,Col1a1::Cd44
115,AT2_non_expanding,AT2_non_expanding,0.0633037761853556,Col4a2,Itga9,Col4a2::Itga9
116,Mesothelial_non_expanding,Mac_expanding,0.06229625918191083,Col1a1,Itga9,Col1a1::Itga9
117,Mac_non_expanding,AT2_expanding,0.06226658816316594,Entpd1,Adora2b,Entpd1::Adora2b
118,cancer_non_expanding,Pericyte_expanding,0.06171929725924184,Col4a2,Gp6,Col4a2::Gp6
119,AT2_expanding,cancer_expanding,0.06079510898863954,Col6a2,Cd44,Col6a2::Cd44
120,AT2_expanding,cancer_expanding,0.06053232627169361,Col6a2,Itgb1,Col6a2::Itgb1
121,Alveolar Macrophage_expanding,cancer_non_expanding,0.06018520654308215,Il18,Il18r1,Il18::Il18r1
122,Mesothelial_expanding,cancer_non_expanding,0.05975239689336967,Col1a1,Itga2,Col1a1::Itga2
123,MonoMac_expanding,cancer_expanding,0.059086225316511705,Nampt,Itga5,Nampt::Itga5
124,cancer_expanding,cancer_expanding,0.05886463141024356,Fn1,Sdc1,Fn1::Sdc1
125,Alveolar Macrophage_non_expanding,Mac_non_expanding,0.05809370409575216,Tg,Thrb,Tg::Thrb
126,AT2_non_expanding,AT2_non_expanding,0.05790191105677748,Col4a4,Itga9,Col4a4::Itga9
127,Mesothelial_expanding,cancer_expanding,0.05648636543243502,Col1a2,Itga11,Col1a2::Itga11
128,Mesothelial_non_expanding,Mesothelial_expanding,0.05641475766911158,Tenm3,Adgrl1,Tenm3::Adgrl1
129,myCAF_non_expanding,Mac_non_expanding,0.056205451625272865,Lama2,Itga9,Lama2::Itga9
130,cancer_expanding,cancer_expanding,0.05590777285623215,Aldh1a3,Rorb,Aldh1a3::Rorb
131,cancer_expanding,AT2_expanding,0.05505681639791017,Gls,Grm3,Gls::Grm3
132,myCAF_expanding,AT2_expanding,0.0546109269357737,Lama2,Itga9,Lama2::Itga9
133,Alveolar Macrophage_expanding,cancer_non_expanding,0.05421240615418174,Il18,Il18rap,Il18::Il18rap
134,Mesothelial_non_expanding,Mac_non_expanding,0.053455025454112376,Col1a1,Itga9,Col1a1::Itga9
135,AT2_expanding,cancer_expanding,0.05339264614912763,Col4a3,Itgb1,Col4a3::Itgb1
136,myCAF_non_expanding,cancer_non_expanding,0.05299535554103351,Col6a3,Itga9,Col6a3::Itga9
137,cancer_non_expanding,AT2_non_expanding,0.05270303389664544,Lama5,Itga9,Lama5::Itga9
138,cancer_non_expanding,Mac_non_expanding,0.05231977659327025,Tnxb,Itga9,Tnxb::Itga9
139,myCAF_expanding,Mesothelial_expanding,0.05205403460959181,Col6a3,Itgb8,Col6a3::Itgb8
140,cancer_expanding,cancer_expanding,0.05201986158106917,Fn1,Cd44,Fn1::Cd44
141,Mesothelial_non_expanding,Mac_non_expanding,0.05195871213250575,Tenm3,Adgrl2,Tenm3::Adgrl2
142,cancer_non_expanding,AT2_non_expanding,0.051873552496270584,Tnxb,Itga9,Tnxb::Itga9
143,AT2_expanding,Mac_expanding,0.05140332054192449,Col6a2,Itga9,Col6a2::Itga9
144,AT2_expanding,cancer_expanding,0.0505053870880855,Col4a3,Cd44,Col4a3::Cd44
145,AT2_expanding,AT2_non_expanding,0.05044939739909871,Col4a4,Itga9,Col4a4::Itga9
146,myCAF_expanding,cancer_expanding,0.04958267770912184,Lama2,Itgb1,Lama2::Itgb1
147,Mac_expanding,AT2_expanding,0.04920930471253262,Slc1a3,Grm3,Slc1a3::Grm3
148,cancer_expanding,MonoMac_expanding,0.04903925647861448,Fn1,Itga4,Fn1::Itga4
149,cancer_non_expanding,cancer_non_expanding,0.048081040149978126,Lamc2,Itga9,Lamc2::Itga9
150,cancer_expanding,cancer_expanding,0.04777336272280716,Fn1,Itgb1,Fn1::Itgb1
151,myCAF_non_expanding,cancer_expanding,0.04724851520358681,Col6a3,Sdc1,Col6a3::Sdc1
152,Mesothelial_expanding,AT2_expanding,0.04722853874408475,Col1a1,Itga9,Col1a1::Itga9
153,AT2_non_expanding,AT2_non_expanding,0.047123157571193286,Col4a1,Itga9,Col4a1::Itga9
154,myCAF_expanding,cancer_expanding,0.046039799477070036,Lama2,Cd44,Lama2::Cd44
155,Endothelial_expanding,cancer_expanding,0.04595862259816748,Jam2,Itgb1,Jam2::Itgb1
156,myCAF_non_expanding,cancer_expanding,0.045808487786874776,Col6a3,Itgb1,Col6a3::Itgb1
157,AT2_expanding,AT2_expanding,0.04558605563744875,Col4a1,Itga9,Col4a1::Itga9
158,cancer_non_expanding,AT2_non_expanding,0.04548147661531203,Col4a1,Itga9,Col4a1::Itga9
159,Mac_expanding,cancer_non_expanding,0.045426528628334774,Tg,Thrb,Tg::Thrb
160,Endothelial_expanding,Mac_expanding,0.045340936899987014,Vwf,Itgav,Vwf::Itgav
161,Mesothelial_non_expanding,Mac_non_expanding,0.044697441212842595,Col1a2,Itga9,Col1a2::Itga9
162,Mac_non_expanding,AT2_expanding,0.044650262748450666,Gls,Grm3,Gls::Grm3
163,Mac_expanding,AT2_expanding,0.04440897087782896,Gls,Grm3,Gls::Grm3
164,Mac_non_expanding,cancer_non_expanding,0.04415638186435681,App,Sorl1,App::Sorl1
165,cancer_non_expanding,cancer_non_expanding,0.0440421185632528,Col4a2,Itga9,Col4a2::Itga9
166,AT2_non_expanding,Mac_non_expanding,0.04355754097941069,Col6a1,Itga9,Col6a1::Itga9
167,iCAF_expanding,myCAF_expanding,0.043391637171474956,Slit2,Robo2,Slit2::Robo2
168,cancer_non_expanding,MonoMac_expanding,0.043078666638433134,Il34,Csf1r,Il34::Csf1r
169,cancer_non_expanding,AT2_non_expanding,0.042866271336054,Icam1,Itgb2l,Icam1::Itgb2l
170,AT2_non_expanding,AT2_expanding,0.04233064700016775,Gls,Grm3,Gls::Grm3
171,myCAF_non_expanding,AT2_non_expanding,0.042020783556565425,Col6a3,Itga9,Col6a3::Itga9
172,cancer_expanding,cancer_expanding,0.04183268706955487,Fn1,Itga3,Fn1::Itga3
173,cancer_non_expanding,myCAF_non_expanding,0.041560196183498536,Col4a2,Itga1,Col4a2::Itga1
174,iCAF_expanding,cancer_non_expanding,0.04131426191025295,Lama2,Itga9,Lama2::Itga9
175,cancer_non_expanding,myCAF_non_expanding,0.04093229684393308,Lamc2,Itga1,Lamc2::Itga1
176,Mac_expanding,AT2_non_expanding,0.040722964489756736,Entpd1,Adora2b,Entpd1::Adora2b
177,Mesothelial_non_expanding,cancer_non_expanding,0.04071964145126564,Col1a1,Itga2,Col1a1::Itga2
178,myCAF_non_expanding,cancer_non_expanding,0.04070731442519069,Tgfb2,Tgfbr1,Tgfb2::Tgfbr1
179,AT2_non_expanding,cancer_non_expanding,0.0406381053259802,Col4a2,Itga9,Col4a2::Itga9
180,AT2_expanding,cancer_expanding,0.04061803785329358,Col4a3,Sdc1,Col4a3::Sdc1
181,myCAF_non_expanding,Mac_non_expanding,0.040515401603477094,Lama4,Itga9,Lama4::Itga9
182,AT2_non_expanding,myCAF_non_expanding,0.04049278077292472,Col4a3,Itga1,Col4a3::Itga1
183,AT2_non_expanding,cancer_non_expanding,0.04039012151020585,Col6a1,Itga9,Col6a1::Itga9
184,Mesothelial_non_expanding,cancer_non_expanding,0.03981236848222964,Tenm3,Adgrl2,Tenm3::Adgrl2
185,cancer_expanding,Mesothelial_expanding,0.0395862600460458,Fn1,Itgb8,Fn1::Itgb8
186,Alveolar Macrophage_non_expanding,Alveolar Macrophage_non_expanding,0.03957863718038626,Ptprc,Mrc1,Ptprc::Mrc1
187,myCAF_non_expanding,Mac_expanding,0.03902586261368915,Col6a3,Itga9,Col6a3::Itga9
188,Endothelial_expanding,AT2_expanding,0.038627484695055433,Sema6a,Plxna4,Sema6a::Plxna4
189,myCAF_non_expanding,cancer_expanding,0.03852020786840069,Col6a3,Cd44,Col6a3::Cd44
190,Endothelial_non_expanding,Mac_non_expanding,0.03822690315176534,Sema6a,Plxna2,Sema6a::Plxna2
191,Mesothelial_expanding,cancer_expanding,0.03800573750625312,Mmp2,Itgb3,Mmp2::Itgb3
192,AT2_expanding,myCAF_expanding,0.0375577179989498,Col4a3,Itga1,Col4a3::Itga1
193,myCAF_non_expanding,cancer_non_expanding,0.03732454121239968,Lama4,Itga2,Lama4::Itga2
194,Mesothelial_expanding,iCAF_expanding,0.03678784602629524,Ncam1,Fgfr1,Ncam1::Fgfr1
195,AT2_expanding,cancer_expanding,0.036619998365936504,Col6a2,Sdc1,Col6a2::Sdc1
196,cancer_expanding,iCAF_expanding,0.0363270212379584,Fn1,Itgb8,Fn1::Itgb8
197,cancer_expanding,Alveolar Macrophage_expanding,0.03632253695331862,Bdnf,Sort1,Bdnf::Sort1
198,myCAF_expanding,AT2_non_expanding,0.03631358204367983,Lama4,Itga9,Lama4::Itga9
199,cancer_non_expanding,cancer_non_expanding,0.03623738274037841,Agrn,Dag1,Agrn::Dag1
200,cancer_expanding,cancer_expanding,0.036151613423720357,Bmp7,Bmpr2,Bmp7::Bmpr2
201,cancer_non_expanding,cancer_non_expanding,0.03597511101667298,Lama5,Itga9,Lama5::Itga9
202,Mesothelial_expanding,cancer_expanding,0.03572942020865065,Col1a1,Itga3,Col1a1::Itga3
203,Mesothelial_expanding,cancer_expanding,0.0356021594369481,Mmp2,Itgav,Mmp2::Itgav
204,myCAF_non_expanding,cancer_non_expanding,0.03518880729752018,Lama2,Itga2,Lama2::Itga2
205,iCAF_non_expanding,Mesothelial_expanding,0.03500385139712604,Col1a1,Itgb8,Col1a1::Itgb8
206,myCAF_expanding,AT2_non_expanding,0.03498620198572847,Tnc,Itga9,Tnc::Itga9
207,Mesothelial_non_expanding,iCAF_non_expanding,0.03488904536698402,Tenm3,Adgrl3,Tenm3::Adgrl3
208,Mac_non_expanding,AT2_non_expanding,0.03467355327207018,Icam1,Itgb2l,Icam1::Itgb2l
209,cancer_expanding,Mac_expanding,0.03459907733139268,Spp1,Itgb5,Spp1::Itgb5
210,cancer_expanding,cancer_expanding,0.03457619251757412,Spp1,Itgb3,Spp1::Itgb3
211,Mesothelial_expanding,myCAF_expanding,0.03453686926164974,Ncam1,Fgfr1,Ncam1::Fgfr1
212,myCAF_non_expanding,cancer_expanding,0.034420776320222495,Lama4,Itgb1,Lama4::Itgb1
213,Endothelial_expanding,AT2_expanding,0.033859312804360345,Sema6a,Plxna2,Sema6a::Plxna2
214,AT2_expanding,AT2_expanding,0.033838834324127064,Col4a2,Itga9,Col4a2::Itga9
215,cancer_non_expanding,cancer_non_expanding,0.033240986536328336,Sema4a,Plxna4,Sema4a::Plxna4
216,AT2_non_expanding,cancer_non_expanding,0.03319262243298096,Col4a4,Itga9,Col4a4::Itga9
217,iCAF_expanding,myCAF_non_expanding,0.03318561627536353,Lama2,Itga1,Lama2::Itga1
218,cancer_expanding,cancer_expanding,0.03316052587593417,Bmp7,Acvr2a,Bmp7::Acvr2a
219,cancer_expanding,Mac_non_expanding,0.0331358656813489,Spp1,Itga9,Spp1::Itga9
220,cancer_expanding,AT2_non_expanding,0.03306977610226564,Gls,Grm3,Gls::Grm3
221,cancer_non_expanding,cancer_non_expanding,0.03301836249089219,Lamb3,Itga9,Lamb3::Itga9
222,cancer_expanding,myCAF_expanding,0.03290890136430357,Ncam1,Fgfr1,Ncam1::Fgfr1
223,Endothelial_expanding,Mac_expanding,0.03285645847223813,Lama1,Itgav,Lama1::Itgav
224,myCAF_expanding,cancer_non_expanding,0.03279574435666358,Lama2,Itga2,Lama2::Itga2
225,myCAF_expanding,cancer_expanding,0.0323504571718467,Lama4,Itgb1,Lama4::Itgb1
226,cancer_non_expanding,cancer_non_expanding,0.03221030664862922,Sema3c,Plxna2,Sema3c::Plxna2
227,Mesothelial_non_expanding,Mac_expanding,0.0322001154658307,Col1a2,Itgav,Col1a2::Itgav
228,cancer_non_expanding,AT2_non_expanding,0.032073374894487756,Col4a3,Itga9,Col4a3::Itga9
229,Mesothelial_expanding,cancer_expanding,0.03201177687625224,Thbs2,Itga3,Thbs2::Itga3
230,AT2_expanding,Mac_expanding,0.03186197967394151,Col6a1,Itga9,Col6a1::Itga9
231,myCAF_non_expanding,myCAF_non_expanding,0.03179061693373491,Lama2,Itga1,Lama2::Itga1
232,cancer_expanding,Mesothelial_non_expanding,0.03159776842706538,Fn1,Itgb8,Fn1::Itgb8
233,AT2_expanding,cancer_expanding,0.031521071678351206,Col6a1,Itgb1,Col6a1::Itgb1
234,Mesothelial_expanding,AT2_expanding,0.03151606130587296,Col1a2,Itga9,Col1a2::Itga9
235,cancer_expanding,cancer_non_expanding,0.031491160756152534,Efna5,Ephb2,Efna5::Ephb2
236,cancer_expanding,cancer_expanding,0.03146343705989216,Spp1,Itgav,Spp1::Itgav
237,AT2_expanding,cancer_expanding,0.031368942437508596,Col6a1,Cd44,Col6a1::Cd44
238,AT2_expanding,myCAF_non_expanding,0.03124944498487376,Col6a2,Itga1,Col6a2::Itga1
239,Mesothelial_non_expanding,cancer_non_expanding,0.030885679122747468,Col1a1,Itgav,Col1a1::Itgav
240,iCAF_expanding,myCAF_non_expanding,0.030788636774340673,Slit2,Robo2,Slit2::Robo2
241,cancer_expanding,AT2_expanding,0.03075858755498789,Nt5e,Adora2b,Nt5e::Adora2b
242,cancer_expanding,AT2_expanding,0.030671888516502526,Spp1,Itga9,Spp1::Itga9
243,AT2_non_expanding,cancer_expanding,0.030644314052694695,Col4a3,Itga11,Col4a3::Itga11
244,iCAF_non_expanding,cancer_expanding,0.030489096284899576,Col1a1,Sdc1,Col1a1::Sdc1
245,myCAF_expanding,cancer_expanding,0.030246625475086133,Lama4,Cd44,Lama4::Cd44
246,migDC_non_expanding,cancer_expanding,0.03015970187387791,Fgf6,Fgfr2,Fgf6::Fgfr2
247,cancer_expanding,cancer_expanding,0.030053347902301877,Bmp7,Bmpr1b,Bmp7::Bmpr1b
248,AT2_expanding,cancer_expanding,0.029918573431240644,Npnt,Itgb1,Npnt::Itgb1
